"Datapoint Number","Test Time (s)","Cycle Number","Current (A)","Potential (V)","Step Index","Step Time (s)","Charge Capacity (Ah)","Discharge Capacity (Ah)","Charge Energy (Wh)","Discharge Energy (Wh)","Timestamp","dV/dt (V/s)","dQ/dV (Ah/V)","Current Cycle Net Capacity (Ah)","Current Cycle Net Energy (Wh)","Test Net Capacity (Ah)","Test Net Energy (Wh)","Test Cumulative Capacity (Ah)","Test Cumulative Energy (Wh)","Power (W)","[Maccor] Datapoint ID","[Maccor] Cycle","[Maccor] Step Index","[Maccor] Test Time (s)","[Maccor] Step Time (s)","[Maccor] Capacity (Ah)","[Maccor] Energy (Wh)","[Maccor] Current (A)","[Maccor] Potential (V)","[Maccor] State","[Maccor] Ending Status","[Maccor] Datapoint Time","[Maccor] AC Impedance (Ω)","[Maccor] Internal Resistance (Ω)","[Maccor] VAR 1","[Maccor] VAR 10","[Maccor] VAR 11","[Maccor] VAR 12","[Maccor] VAR 13","[Maccor] VAR 14","[Maccor] VAR 15","[Maccor] VAR 2","[Maccor] VAR 3","[Maccor] VAR 4","[Maccor] VAR 5","[Maccor] VAR 6","[Maccor] VAR 7","[Maccor] VAR 8","[Maccor] VAR 9"
1,0.0,0,0.0,0.00907912,1,0.0,0.0,0.0,0.0,0.0,1592321193000,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.00907912,R,0,06/16/2020 11:26:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1800.0,0,0.0,0.00068666,1,1800.0,0.0,0.0,0.0,0.0,1592322993000,-4.66247777777778e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1800.0,1800.0,0.0,0.0,0.0,0.00068666,R,1,06/16/2020 11:56:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3600.0,0,0.0,0.0,1,3600.0,0.0,0.0,0.0,0.0,1592324793000,-3.81477777777778e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,3600.0,3600.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 12:26:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5400.0,0,0.0,0.0,1,5400.0,0.0,0.0,0.0,0.0,1592326593000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,5400.0,5400.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 12:56:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7200.0,0,0.0,0.0,1,7200.0,0.0,0.0,0.0,0.0,1592328393000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,7200.0,7200.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 13:26:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9000.0,0,0.0,0.0,1,9000.0,0.0,0.0,0.0,0.0,1592330193000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,1,9000.0,9000.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 13:56:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10800.0,0,0.0,0.0,1,10800.0,0.0,0.0,0.0,0.0,1592331993000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,1,10800.0,10800.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 14:26:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,12600.0,0,0.0,0.0,1,12600.0,0.0,0.0,0.0,0.0,1592333793000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,1,12600.0,12600.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 14:56:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14400.0,0,0.0,0.0,1,14400.0,0.0,0.0,0.0,0.0,1592335593000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,1,14400.0,14400.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 15:26:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15344.49,0,0.0,0.0,1,15344.49,0.0,0.0,0.0,0.0,1592336538000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,1,15344.49,15344.49,0.0,0.0,0.0,0.0,S,192,06/16/2020 15:42:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15344.49,0,0.0,0.0,1,15344.49,0.0,0.0,0.0,0.0,1592336913000,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,1,15344.49,15344.49,0.0,0.0,0.0,0.0,R,192,06/16/2020 15:48:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,16200.0,0,0.0,0.0,1,16200.0,0.0,0.0,0.0,0.0,1592337768000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,1,16200.0,16200.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 16:02:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
